YEAR,COG Lat,COG depth,Min Lat,Max Lat
1974,42.80944126,-135.31836,41.65755687,44.20920448
1976,42.93850422,-141.35574,41.79291367,44.21108934
1977,42.97457795,-142.98079,41.82872363,44.20045132
1978,42.96458237,-145.0258,41.83115976,44.08927379
1979,42.9777131,-146.9868,41.83971169,44.01282967
1980,42.96305706,-146.4752,41.83725423,43.96505709
1981,42.93425424,-143.97107,41.83950753,43.95464458
1982,42.88939012,-141.48224,41.83707686,43.90499197
1983,42.86312567,-139.0847,41.82349471,43.85629809
1984,42.82205516,-139.0194,41.80554139,43.79496307
1985,42.8514151,-138.3817,41.7671079,43.81823604
1986,42.83825463,-143.2778,41.69228344,43.76574772
1987,42.83859866,-142.3048,41.64207183,43.7322666
1988,42.82588426,-141.74457,41.60998817,43.70505923
1989,42.80472895,-140.81117,41.59207217,43.72965753
1990,42.79424003,-138.59352,41.61934833,43.71463304
1991,42.7768606,-137.76143,41.63436739,43.71572547
1992,42.77395281,-139.63914,41.66644895,43.71922501
1993,42.78516161,-142.8805,41.69120325,43.73519473
1994,42.77810878,-143.99072,41.68264695,43.75522341
1995,42.74537291,-142.99127,41.63669623,43.77713952
1996,42.70174352,-139.94946,41.61489374,43.76701898
1997,42.65554165,-136.29703,41.60327426,43.73118207
1998,42.60914809,-134.78403,41.56747316,43.60303834
1999,42.64768244,-133.3493,41.54739459,43.5836441
2000,42.72545555,-136.3812,41.55840244,43.58516558
2001,42.80179819,-137.07578,41.60992798,43.60799131
2002,42.79526562,-139.62929,41.63895002,43.65309431
2003,42.77267972,-138.06818,41.70658251,43.68801928
2004,42.7254646,-139.07202,41.71623443,43.69674273
2005,42.68910464,-139.74226,41.70476909,43.68110636
2006,42.70964987,-145.11308,41.69944948,43.71113889
2007,42.74277458,-148.74011,41.70699345,43.75046743
2008,42.76480294,-147.57448,41.67889159,43.78808637
2009,42.75645639,-143.04353,41.6470456,43.80824572
2010,42.76667364,-140.07597,41.60989812,43.82965168
2011,42.78347184,-139.0564,41.62452279,43.83885871
2012,42.81885705,-141.2497,41.67532998,43.86779565
2013,42.86486289,-142.45317,41.81367294,43.90499323
2015,42.95952594,-142.6721,41.86008661,43.8659673
2016,42.98742321,-142.23453,41.88698365,43.80809766
2017,42.98665655,-140.82759,41.86437519,43.77435498
2018,43.0017425,-139.89717,41.86454859,43.75763529
2019,42.95985059,-138.8256,41.7885981,43.71854554
2021,42.83268934,-136.50983,41.76102238,43.75149167
2022,42.87215457,-136.0166,41.80057795,43.71898745
2024,42.96932534,-139.71382,41.90848988,43.71202446
