YEAR,COG Lat,COG depth,Min Lat,Max Lat
1974,42.80571645,-141.23871,41.67277449,43.77993707
1975,42.77887113,-151.46893,41.67018428,43.76743186
1976,42.81890434,-159.54387,41.72992082,43.76693306
1977,42.8843157,-163.00237,41.78788302,43.775559
1978,42.92705945,-165.97801,41.81928978,43.79707989
1979,42.94458843,-168.74248,41.84086518,43.78808637
1980,42.92553874,-169.12045,41.83781047,43.7744706
1981,42.87418687,-166.01555,41.81083178,43.74910058
1982,42.80256448,-163.01894,41.8010715,43.73118207
1983,42.78726944,-160.85263,41.8287375,43.76541267
1984,42.78658264,-157.7972,41.85655518,43.80598402
1985,42.80856361,-158.081,41.88658757,43.80419648
1986,42.84545933,-155.45978,41.86058079,43.79232611
1987,42.85527642,-150.38321,41.77503031,43.81693699
1988,42.81651939,-142.52429,41.69324147,43.83623048
1989,42.76013466,-136.70276,41.67405095,43.79874642
1990,42.76938801,-136.45102,41.75705492,43.77404608
1991,42.79574477,-141.21565,41.89587428,43.72366787
1992,42.80596605,-146.18626,41.95240545,43.66865243
1993,42.81577392,-148.42177,41.95903326,43.63419472
1994,42.80237046,-149.70978,41.92088965,43.66114311
1995,42.76496495,-153.46854,41.85655518,43.66217105
1996,42.6855567,-156.05325,41.83080473,43.63878344
1997,42.61569288,-157.13194,41.74781072,43.57930366
1998,42.5506694,-154.11769,41.69378678,43.46903208
1999,42.55519595,-152.8808,41.65697503,43.47411371
2000,42.58055273,-152.04745,41.62651178,43.52078377
2001,42.5997443,-154.61292,41.56143834,43.61236196
2002,42.58629696,-157.40729,41.50118237,43.72819801
2003,42.61300895,-158.63956,41.48317419,43.76541267
2004,42.66631653,-160.07437,41.48457385,43.74796348
2005,42.72369103,-160.04308,41.53203398,43.72466343
2006,42.73314352,-158.93051,41.66339808,43.69678908
2007,42.72430059,-160.16086,41.63365672,43.6933191
2008,42.71286188,-163.67924,41.63176821,43.68110636
2009,42.73291369,-166.67505,41.66098952,43.67752714
2010,42.75699347,-167.98999,41.76722136,43.69789973
2011,42.79890151,-168.61711,41.812142,43.73848296
2012,42.83520478,-167.1481,41.85763547,43.77929075
2013,42.8456343,-165.68564,41.86918963,43.74410659
2014,42.85223906,-164.81271,41.88420014,43.69657761
2015,42.86119626,-163.98842,41.89819843,43.656665
2016,42.91295787,-164.1367,41.92791202,43.65513052
2018,43.01172548,-164.1111,42.00284354,43.69543859
2019,42.94746653,-156.81435,42.00831587,43.70252492
2021,42.82336133,-148.75706,41.9474114,43.67320607
2022,42.81873028,-149.03232,41.95275252,43.61022725
2023,42.82436126,-148.8887,41.96530074,43.58429199
2024,42.85147662,-151.98155,42.00209618,43.56752676
