Indicator (units),Recent Status ,Implications,Time Series,w,h
"Bottom temperature (annual prior to Fall and Spring surveys, °C)",Near the long term mean (fall and spring),"Since 2023, annual mean temperatures prior to the fall survey (top; October - September, bottom; March - February) have declined from recent highs and are near the long-term mean. An overall warming trend in bottom temperatures may eventually result in changes in plaice distribution and condition. Bottom water temperatures control spawning - optimum spawning temperatures range between 3-6C but can thrive from -0.5 to 13C. Spring bottom temperatures are also correlated with mean latitude of plaice distribution. This data set does not yet include 2026.",indicator_table/bt_annual_all.png,2.33,1.5
Gulf Stream Index (annual mean prior to Fall survey),Near the long term mean,"The annual mean of the Gulf Stream position leading up to fall survey affects recruitment. When the strength of Labrador current is weak, a higher proportion of warm water coming from the Gulf Stream enters the Gulf of Maine, increasing Gulf of Maine water temperatures. There is an overall long-term increasing trend in the position of the Gulf Stream since 1970, with the Gulf Stream being further north than the long-term mean in the 2010s, which may be contributing to warmer water temperatures in the Gulf of Maine and affecting plaice recruitment.",indicator_table/gsi.png,2.33,1
Sea Surface Temperature (Mar-June) ,Near the long term mean,"March-June SST anomaly affects plaice recruitment, as the thermal limit for survival and incubation of American plaice eggs is 14C. Spring temperatures have hovered around 7-8°C since the early 1980s, however temperatures in the early 2020s exceeded the long-term mean. Seasonal temperatures have declined since 2022, which may be beneficial for plaice recruitment. However, a long-term increasing trend in sea surface temperatures may lead to overall declines in recruitment. ",indicator_table/sst_mar_june.png,2.33,1
AMO (6 months prior to Fall and Spring survey),Above the long term mean (fall and spring),"The AMO index has been above the long-term mean since 2020. AMO values below 0 and above 0.25 are associated with lower recruitment, while values between approximately 0-0.25 are associated with higher recruitment (Behan and Kerr 2022, fig. 2). Recent AMO values are positive, with some being above the transition point of ~0.25, so impacts on recruitment may be mixed.",indicator_table/amo_all.png,2.33,1.5
